Ascension ,/n./@升天;
concourse ,/n./@廣場;,/n./@集合;,/n./@合流;,/n./@群眾;
pronounce ,/v./@發音;,/v./@宣布;
opportune ,/adj./@及時的;,/adj./@湊巧的;
outermost ,/adj./@最外的;
volunteer ,/n./@志愿者;
collusion ,/n./@共謀;
communion ,/n./@交流;,/n./@圣餐;
confusion ,/n./@困惑;,/n./@混淆;,/n./@混亂;
pollution ,/n./@污染;
concubine ,/n./@妾;,/n./@妃子;,/n./@姘婦;
porcupine ,/n./@豪豬;
curvature ,/n./@彎曲;,/n./@曲率;,/n./@弯曲度;
fluctuate ,/v./@波動;,/v./@起伏;
punctuate ,/v./@加標點;,/v./@不時打斷;
quadruped ,/n./@四足動物;,/n./@四足獸;
quadruple ,/adj./@四倍的;,/adj./@四重的;
subjugate ,/vt./@征服;,/vt./@克制;,/vt./@制服;,/vt./@抑制;
vulgarian ,/n./@俗人;
lucrative ,/adj./@賺錢的;,/adj./@有利可圖的;
submarine ,/n./@潜艇;
pulsation ,/n./@脈動;,/v./@搏動;,/v./@悸動;,/v./@振動;
subatomic ,/adj./@亚原子的;
bumblebee ,/n./@熊蜂;,/n./@大黃蜂;
supersede ,/v./@取代;,/v./@推遲;,/v./@代替;
undertake ,/v./@從事;,/v./@承擔;
underwear ,/n./@内衣;
utterance ,/n./@话语;,/n./@言論;,/n./@發聲;
squeamish ,/adj./@易嘔吐的;,/adj./@易噁心的;,/adj./@過分審慎的;
underline ,/v./@强调;
undermine ,/v./@暗中破坏;
unrefined ,/adj./@未提煉的;,/adj./@未精製的;,/adj./@粗俗的;,/adj./@不高尚的;,/adj./@无教养的;
pulverize ,/vt./@弄碎;,/vt./@击败;,/vt./@粉碎;,/vt./@摧毀;
supervise ,/v./@监督;,/v./@管理;
cuneiform ,/n./@楔形文字;,/adj./@楔形文字的;
bluetooth ,/n./@蓝牙;
curricula ,/n./@課程;
umbilical ,/adj./@脐带的;
culminate ,/vi./@告终;,/vi./@達到高潮;,/vi./@達到頂點;
cultivate ,/v./@培养;
duplicate ,/v./@复制;
hurricane ,/n./@颶風;
lubricate ,/v./@潤滑;
unlimited ,/adj./@无限的;
quintuple ,/adj./@五倍的;
subdivide ,/v./@再分;
subsidize ,/vt./@补贴;,/vt./@资助;
universal ,/adj./@宇宙的;,/adj./@普遍的;
curiosity ,/n./@好奇心;,/n./@好奇;
ludicrous ,/adj./@荒唐可笑的;,/adj./@滑稽的;
nutrition ,/n./@營養;
suspicion ,/n./@怀疑;
sumptuous ,/adj./@奢侈的;,/adj./@豪華的;,/adj./@奢華的;
suffocate ,/v./@窒息;,/v./@受阻;,/vt./@悶死;,/vt./@扼制;
untouched ,/adj./@不受影响的;
suffoquer ,/vt./@窒息;
custodian ,/n./@保管人;,/n./@監護人;,/n./@守衛;,/n./@看管者;
customise ,/v./@定制;,/v./@个性化;
customize ,/v./@定制;
